,Type,Mass /kg,Mass /Earth Mass,Mean Radius /km,Mean Radius /Earth Radii,Apoapsis /AU,Periapsis /AU,Argument of Periapsis /degrees,Semi-major axis /AU,Inclination (to ecliptic) /degrees,Sidereal Orbital Period /days,Sidereal Rotational Period /days,Axial Tilt /degrees,Absolute Magnitude,Average Density /g/cm3 ,Surface Temp /K,Surface gravity /g,Moons?,Ring radius (from equator) /km,Ring Depth /m,Eccentricity,Longitude of ascending node /degrees,true anomaly (on the 2nd of feb) /degrees,Mass of Body which it orbits,Name of Body which it orbits,NOTES,Color,nthMoon
Sun,G2V Star,1.99E+30,332950,696000,109,0,0,0,0,0,0,25.05,7.25,4.83,1.408,5772,28,0,0,0,0,0,0,N/A,N/A,Our Solar System’s local star; the Sun is the central body in which all of the planets orbit; and is by far the largest object in the Solar System (99.8% of the Solar System’s mass). The name of the Sun comes from Proto-Germanic sunnōn. As in most ancient cultures; the Sun was believed to be a god; for which sunnōn was its name. While to Earth; it may appear that we orbit the stationary Sun; it in fact orbits the centre of the Milky Way. The centre of the sun; which generates all of its energy via nuclear fusion; is about 15 million °C. Where we define the surface of the Sun (the photosphere); the temperature is much cooler; at around 5500 °C. However; for reasons unknown to scientists to this day; the corona (which surrounds the Sun’s surface) is actually much hotter than the photosphere; at around 2 million °C. One key feature on the ‘surface’ of the Sun are sunspots; which appear as black spots when the Sun is viewed using specialist equipment (aside: NEVER look at the Sun directly). In reality; these black spots are simply cooler regions than the surrounding photosphere; but observing how these spots change over time can help us better understand the dynamics of the surface. While the Sun is popularly depicted as yellow/orange in culture; it is in fact truly white; and our atmosphere; especially at sunrise and sunset; scatters the blue and violet colours into our atmosphere (hence why the sky is blue); leaving behind the yellow light of the Sun. ,#FFD05A,0
Mercury,Planet,3.30E+23,0.055,2440,0.3829,0.466697,0.307499,29.124,0.387098,7.005,87.9691,58.646,0.034,-0.4,5.427,340,0.38,0,0,0,0.20563,48,178.0313,1.99E+30,Sun,Named after the swift Roman God of travellers; Mercury is the smallest and closest planet to the Sun. It has the shortest orbit of any planet; consisting of 88 days. The temperature on the surface of Mercury varies greatly; with regions around the equator reaching 420 °C during the Mercurian day; and plummeting to -170 °C at night. The surface is heavily cratered due to its high velocity and close distance to the Sun; essentially acting as a sponge for elongated asteroid impacts. Mercury also contains what are known as ‘mare-like plains’ which are ancient basaltic flats that indicate that the planet has been geologically inactive for many billions of years. Due to Mercury’s close proximity to the Sun; and its high velocity compared to that of Earths; it takes an incredible amount of fuel to safely land on its surface; hence why only three space probes have successfully made it to the surface.,#D8D3CF,0
Venus,Planet,4.87E+24,0.815,6051.8,0.9499,0.728213,0.71844,54.884,0.723332,3.395,224.701,-243.0226,2.64,-4.4,5.243,737,0.904,0,0,0,0.006772,76.68,105.5454,1.99E+30,Sun,Venus is the second planet from the Sun; and is not the ideal vacation spot. The terrestrial planet has such a dense atmosphere; that any energy captured from the nearby sun is trapped in its atmosphere (an extreme greenhouse effect); meaning that despite being further away from the Sun; it is actually on average hotter than Mercury (~ 460 °C ). At surface level; due to these high pressures and temperatures; it can be considered a supercritical fluid at that point; meaning that the distinct phases between liquid and gas do not exist. Due to Venus’ close proximity to earth and its highly reflective atmosphere; it is the third brightest object in the sky; after the Sun and the Moon. The planet is named after the Roman goddess of love and beauty (the only planet named after a female god); and keeping with that theme; most of its features are named after women.,#EC9C2A,0
Earth,Planet,5.97E+24,1,6371,1,1.01671,0.983292,114.21,1,0,365.26,1,23.4,-3.99,5.5134,288,1,1,0,0,0.0167086,-11.26,30.5616,1.99E+30,Sun,Mostly Harmless,#7287A5,0
The Moon,Moon,7.34E+22,0.0123,1737.4,0.2727,0.0027099,0.0024238,0,0.00256954,5.145,27.322,27.322,1.5424,0.2,3.344,250,0.1654,0,0,0,0.0549,0,0,5.97E+24,Earth,Earth’s one and only moon; sometimes referred to as ‘luna’; the Moon is the brightest object in the night sky. The reason it is simply referred to as ‘the Moon’ is due to the fact that no other moons were discovered until 1610 by Galileo Galilei (the Galilean Moons of Jupiter). Like all large moons in the Solar System; the Moon is tidally locked; meaning that its rotational period is the same as its orbital period (~ 27 days); and that from the Earth we always see the same side. Due to its gravitational pull on the Earth and its oceans; the Moon is (mostly) responsible for our tides. Due to this; and its constant presence and rhythm in the sky; it is a key factor of human navigation and time-keeping. In fact the name ‘Moon’ derives from the Proto-Indo-European word ‘mensis’ (month); which may be related to the current verb ‘to measure’. The moon has two distinct types of surface: Maria (from Latin 'ocean'); and the Highlands. The Maria are previous; ancient oceans of lava from the Moon’s earlier age. The far side of the Moon barely contains any Maria; due to the high abundance of high impact craters. ,#989896,1
Mars,Planet,6.42E+23,0.107,3389.5,0.532,1.66621,1.3814,286.5,1.52369055,1.85,686.98,1.02596,25.2,-1.5,3.9335,213,0.3794,2,0,0,0.0934,49.578,300.5928,1.99E+30,Sun,Mars (the Roman God of War) is the last of the terrestrial planets in the Solar System; and is one of Earth’s closest neighbours. The ‘Red Planet’ gets its nickname from the orange-red iron oxide dust covering its surface. The surface of Mars; despite its red appearance; is deathly cold; with temperatures reaching as low as -78.5 °C. Mars is also home to some of the most extreme geological features in the Solar System; such as Valles Marineris (one of the largest canyon systems in the Solar System); and the extinct volcano Olympus Mons (the largest mountain in the Solar System). The seasons on Mars are very Earth-like; due to the two planets having similar rotational axes. One of the main interests of Mars to researchers however; is potential evidence of the previous presence of liquid water; and therefore potentially life. The strongest evidence supporting this is the structure of current landforms that follow similar structures to Earth’s rivers and ocean surface. It is; however; not possible to find liquid water presently on Mars; due to its low atmospheric pressure. Mars does have two large polar ice caps; but these sublimate (go directly from ice to steam). If they were to somehow melt; it would cover Mars with oceans. There is still no direct evidence of the previous existence of Martian life; but more and more research is done every-day via rovers; such as NASA’s Perseverance.,#CF9466,0
Phobos ,Moon,1.07E+16,1.78E-09,11.08,0.001739,6.36E-05,6.17E-05,0,6.27E-05,26.04,0.31891,0.31891,0,NaN,1.861,233,5.81E-04,0,0,0,0.0151,0,0,6.42E+23,Mars,Fittingly named after the Son of Ares; and the God of fear and panic in Greek mythology; Phobos is the larger of Mars’ two moons. Phobos is only approximately 10 km in radius; meaning that it doesn’t have sufficient mass to be perfectly spherical; and is only made more irregular from the thousands of meteor impacts on its surface. The most prominent crater is the Stickney crater; which takes up almost half of the moon’s surface. The Martian moon will collide with Mars; or break up into a ring; in about 50 million years; with it approaching the planet at about 2 metres every 100 years. Phobos does not have sufficient gravity to have an atmosphere; and is one of the least reflective bodies in the Solar system.,#91837A,1
Deimos,Moon,1.48E+15,2.47E-10,6.27,0.00098415,0.0015689,0.00015679,0,0.00015684,27.58,1.263,1.263,0,NaN,1.465,233,3.06E-04,0,0,0,0.00033,0,0,6.42E+23,Mars,The brother of Phobos; in both name and position; Deimos is the smaller of the two Martian moons. Deimos is named after the God of Dread; and Ares’ son in Greek mythology. It has a mean radius of 6.2 km and much less mass than Phobos; meaning that it is even less regular in shape; due to it having a much weaker gravitational pull. This lack of gravity also explains why the surface appears much smoother than other bodies; as it does not have sufficient gravity to retain dust and other smaller rocks from meteor impacts.,#CEB18D,2
Ceres ,Dwarf Planet,9.38E+20,0.00016,469.7,0.07372,2.98,2.55,73.6,2.77,10.6,1680,0.37808,4,3.34,2.1616,170,0.029,0,0,0,0.0785,80.3,99.5134,1.99E+30,Sun,Ceres is the largest object in the asteroid belt; and is the closest dwarf planet to Earth. It consists of 25% of the asteroid belt's total mass; and was declared to be a dwarf planet in 2006. Ceres comes from the name of the Roman goddess of harvest. It is classified as a dwarf planet as it fits all of the physical characteristics of a planet; but has not cleared its orbit (the asteroid belt). Ceres cannot be seen within the night sky without a telescope; accounting for its size and low reflectivity. Even then; most telescopes struggle to perfectly visualise its surface. The space probe Dawn is the closest humans have gotten to the dwarf planet in 2015; in which it was able to take detailed photographs and determine that its surface is a mixture of ice and clay. It is a world of frozen mud.,#757575,0
Jupiter,Planet,1.90E+27,317.8,69911,10.973,5.457,4.9506,273.867,5.2038,1.303,4332.59,0.41354,3.13,-9.4,1.326,165,2.528,95,0,0,0.0489,100.464,33.8078,1.99E+30,Sun,Jupiter is the oldest and largest planet in the Solar System; both in mass and size; so is aptly named after the king of the Roman gods. If you added up the masses of all other planets in the Solar System; Jupiter’s mass would still be double that sum. Jupiter’s truly gigantic mass explains its complex and fascinating atmosphere; as if it has the highest mass; then it too has the highest gravitational force; meaning it can retain lighter gases in its atmosphere; such as hydrogen and helium. Closer to the surface of Jupiter; the pressure and temperature increases; compressing the helium into the largest ocean in the Solar System; composed not of water; but liquid helium. Due to its thick and tumultuous atmosphere; scientists are still unsure about what truly lies at Jupiter’s core; but it is likely a dense solid mass. Jupiter has the shortest rotational period of any planet in the Solar System (about 10 hours). This fast angular momentum drives the strong jet streams of sulphur and phosphorus; creating powerful and long lasting storms. The most famous storm is the Great Red Spot; which is twice the size of Earth; and has been taking place for at least 300 years. The first moons discovered besides our local moon were Jupiter’s four largest moons discovered by Galileo Galilei: Io; Europa; Ganymede; and Callisto. These are known as the Galilean moons; but due to the huge gravitational field created by Jupiter; it in fact has 95 confirmed moons. Like all gas giants; Jupiter has very faint rings composed of small dark dust particles.,#D5B89C,0
